epoch,train_acc,val_acc,val_f1,gap,lr
1,0.5704,0.4892,0.4803,0.0811,0.0001
2,0.657,0.5245,0.5034,0.1325,0.0002
3,0.7206,0.5597,0.5569,0.1609,0.0003
4,0.7541,0.5421,0.5338,0.2121,0.0004
5,0.7496,0.5479,0.5392,0.2017,0.0005
6,0.8212,0.591,0.5817,0.2302,0.0005
7,0.8538,0.5734,0.5692,0.2804,0.0005
8,0.8728,0.6027,0.6022,0.2701,0.000499
9,0.8763,0.5812,0.5642,0.2951,0.000499
10,0.8868,0.6008,0.5953,0.286,0.000499
11,0.9159,0.6223,0.6218,0.2936,0.000498
12,0.9274,0.6164,0.5999,0.311,0.000497
13,0.9379,0.6125,0.6023,0.3254,0.000496
