epoch,train_acc,val_acc,val_f1,gap,lr
1,0.5839,0.5166,0.5025,0.0672,0.0001
2,0.648,0.5401,0.5261,0.1079,0.0002
3,0.7326,0.5577,0.5502,0.1749,0.0003
4,0.7411,0.5832,0.5748,0.1579,0.0004
5,0.7907,0.5695,0.5655,0.2212,0.0005
6,0.8102,0.5812,0.5748,0.229,0.0005
7,0.7987,0.5636,0.5478,0.2351,0.0005
8,0.8503,0.6027,0.5955,0.2475,0.000499
9,0.8828,0.593,0.5723,0.2899,0.000499
10,0.9134,0.5832,0.5739,0.3302,0.000499
