epoch,train_acc,val_acc,val_f1,gap,lr
1,0.6197,0.4211,0.3768,0.1986,0.0001
2,0.6832,0.4912,0.4592,0.1919,0.0002
3,0.7446,0.4787,0.4555,0.2659,0.0003
4,0.7711,0.4862,0.454,0.2849,0.0004
5,0.7621,0.5088,0.4904,0.2533,0.0005
6,0.8546,0.4962,0.4834,0.3583,0.0005
7,0.8531,0.5063,0.4953,0.3468,0.0005
8,0.8556,0.5063,0.4877,0.3493,0.000499
9,0.8616,0.5188,0.5002,0.3428,0.000499
10,0.8941,0.5013,0.4762,0.3928,0.000499
11,0.928,0.5564,0.5476,0.3716,0.000498
12,0.9225,0.4762,0.4494,0.4463,0.000497
13,0.92,0.5138,0.5063,0.4063,0.000496
14,0.94,0.4912,0.4938,0.4488,0.000495
