epoch,train_acc,val_acc,val_f1,gap,lr
1,0.5318,0.4423,0.4281,0.0895,0.0001
2,0.6455,0.5382,0.5299,0.1073,0.0002
3,0.7301,0.5695,0.572,0.1606,0.0003
4,0.7581,0.5538,0.5439,0.2043,0.0004
5,0.8237,0.589,0.5847,0.2347,0.0005
6,0.8207,0.5949,0.583,0.2258,0.0005
7,0.8267,0.5538,0.5517,0.2729,0.0005
8,0.8698,0.5753,0.5689,0.2945,0.000499
