speaker,accuracy
1,0.5333
2,0.61
3,0.38
4,0.4
5,0.4184
6,0.4592
7,0.558
8,0.29
9,0.3415
10,0.325
11,0.325
12,0.0645
13,0.2833
14,0.3875
15,0.5
16,0.3672
17,0.3077
18,0.4643
19,0.5648
20,0.38
21,0.4
22,0.5169
23,0.2407
24,0.35
25,0.3833
26,0.32
27,0.3048
28,0.26
29,0.4388
30,0.5253
31,0.6267
32,0.4706
33,0.5521
