speaker,accuracy
1,0.6167
2,0.76
3,0.3
4,0.39
5,0.3061
6,0.3571
7,0.5507
8,0.31
9,0.4146
10,0.375
11,0.325
12,0.0968
13,0.2833
14,0.475
15,0.4744
16,0.5391
17,0.8718
18,0.6429
19,0.3056
20,0.08
21,0.4
22,0.4831
23,0.2778
24,0.3
25,0.4667
26,0.31
27,0.3143
28,0.34
29,0.4388
30,0.5556
31,0.5733
32,0.5392
33,0.5
