epoch,train_acc,val_acc,val_f1,gap
1,0.6197,0.4211,0.3768,0.1986
2,0.6952,0.5138,0.4766,0.1814
3,0.7576,0.4837,0.4509,0.2739
4,0.7496,0.5113,0.4725,0.2383
5,0.8036,0.4912,0.4663,0.3124
6,0.8421,0.5213,0.4981,0.3208
7,0.8676,0.5288,0.5129,0.3387
8,0.8816,0.5113,0.4944,0.3703
9,0.8841,0.4887,0.4657,0.3953
10,0.9045,0.4812,0.4508,0.4233
11,0.919,0.5138,0.4976,0.4053
12,0.9355,0.5414,0.533,0.3942
13,0.919,0.5213,0.5155,0.3977
14,0.944,0.4812,0.4687,0.4628
15,0.956,0.5338,0.5203,0.4222
16,0.939,0.5363,0.5319,0.4027
17,0.962,0.4962,0.497,0.4658
18,0.9575,0.4987,0.4865,0.4588
19,0.973,0.4612,0.4573,0.5119
20,0.9575,0.5238,0.5294,0.4337
21,0.965,0.5489,0.5459,0.4161
22,0.975,0.4912,0.4853,0.4838
23,0.963,0.5138,0.5055,0.4492
