epoch,train_acc,val_acc,val_f1,gap
1,0.5927,0.3609,0.3505,0.2318
2,0.6907,0.4361,0.3983,0.2546
3,0.7336,0.4937,0.4589,0.2399
4,0.7616,0.4737,0.4587,0.2879
5,0.8066,0.4787,0.454,0.3279
6,0.8186,0.5363,0.5182,0.2822
7,0.8451,0.5113,0.4933,0.3338
8,0.8776,0.4962,0.4766,0.3813
9,0.8691,0.4787,0.4485,0.3904
10,0.908,0.5038,0.4902,0.4043
11,0.91,0.4687,0.4358,0.4414
12,0.9365,0.5238,0.512,0.4127
13,0.929,0.5213,0.5184,0.4077
14,0.943,0.4887,0.4716,0.4543
15,0.9415,0.4862,0.4773,0.4553
16,0.945,0.5363,0.5346,0.4087
17,0.959,0.5138,0.5058,0.4452
18,0.9475,0.5288,0.5142,0.4187
19,0.971,0.4662,0.4485,0.5048
20,0.9675,0.5439,0.5422,0.4237
21,0.9775,0.4987,0.498,0.4788
