epoch,train_acc,val_acc,val_f1,gap
1,0.5932,0.4912,0.4343,0.102
2,0.6697,0.4436,0.4022,0.2261
3,0.7571,0.4737,0.436,0.2834
4,0.7841,0.5238,0.499,0.2603
5,0.7921,0.5138,0.4829,0.2783
6,0.8201,0.4812,0.4609,0.3389
7,0.8341,0.5163,0.4773,0.3178
8,0.8591,0.4812,0.4431,0.3779
9,0.8736,0.5063,0.4959,0.3673
10,0.8716,0.4586,0.4283,0.4129
11,0.9225,0.5138,0.493,0.4088
12,0.8956,0.4586,0.4291,0.4369
13,0.933,0.5088,0.5023,0.4243
14,0.9275,0.5514,0.5352,0.3762
15,0.955,0.4762,0.4541,0.4788
16,0.951,0.5188,0.5239,0.4322
17,0.958,0.5113,0.4995,0.4467
18,0.959,0.4586,0.4578,0.5004
19,0.9565,0.4486,0.4355,0.5079
20,0.9725,0.4862,0.4918,0.4863
21,0.9655,0.4737,0.4612,0.4918
22,0.973,0.4812,0.4754,0.4918
23,0.9765,0.5213,0.5204,0.4552
24,0.984,0.4862,0.4788,0.4978
25,0.978,0.5213,0.5199,0.4567
26,0.9785,0.4536,0.4401,0.5249
