epoch,train_acc,val_acc,val_f1,gap
1,0.5862,0.4286,0.4038,0.1576
2,0.6722,0.4261,0.3974,0.2461
3,0.7091,0.4361,0.3907,0.2731
4,0.7886,0.4937,0.481,0.2949
5,0.7931,0.5113,0.508,0.2818
6,0.8276,0.4737,0.4507,0.3539
7,0.8576,0.5088,0.5044,0.3488
8,0.8576,0.4737,0.4505,0.3839
9,0.8801,0.5263,0.5158,0.3537
10,0.8756,0.5038,0.5081,0.3718
11,0.8961,0.5388,0.5426,0.3572
12,0.9215,0.4912,0.4875,0.4303
13,0.9335,0.4987,0.4827,0.4348
14,0.944,0.5263,0.5097,0.4177
15,0.9555,0.4637,0.4394,0.4919
16,0.9525,0.4787,0.4742,0.4738
17,0.952,0.5213,0.5112,0.4307
18,0.97,0.4862,0.4694,0.4838
19,0.958,0.4787,0.4709,0.4793
20,0.9595,0.5464,0.5444,0.4132
21,0.97,0.4637,0.4532,0.5064
